Z	see0
ZIPLINE	sip3 laaj0
ZIPPED	sip3
ZIPPER	sip3 phrqq2
ZIPPER	sip3 phrqq2
ZIPPERED	sip3 phqq2
ZIPPERED	sip3 phqq2
ZIPPERER	sip3 phq1 rqq2
ZIPPERER	sip3 phq1 rqq2
ZIPPERER	sip3 phq1 rqq2
ZIPPERER	sip3 phq1 rqq2
ZIPPERING	sip3 phq1 ring2
ZIPPERING	sip3 phq1 ring2
ZIPPERS	sip3 phqq2
ZIPPERT	sip3 phqqt1
ZIPPIER	sip3 phiia0
ZIPPIES	sip3 phis1
ZIPPIEST	sip3 phis3 es1
ZIPPIN	sip3 phin0
ZIPPINESS	sip3 phi1 nees1
ZIPPING	sip3 ping2
ZIPPINGLY	sip3 ping2 lii2
ZIPS	sip3
ZIRCONIAN	sqq0 kh@@0 niian2
ZIRCONIUM	sqq0 kh@@0 niiam2
ZIRCONIUMS	sqq0 kh@@0 niiam2
ZITHER	si3 dqq2
ZITHER	si3 dqq2
ZITHERS	si3 dqq2
ZLOTKIN	sa1 l@t3 kin2
ZLOTNICK	sa1 l@t3 nik1
ZLOTNIK	sa1 l@t3 nik1
ZLOTY	sa1 l@t3 tii2
ZLOTYS	sa1 loo0 tii2
ZOA	s@@0 rqq2
ZODIAC	s@@0 di1 xk1
ZODIACAL	s@@0 daaj0 qk3 khql2
ZODIACS	s@@0 di1 xk1
ZOE	s@@0 ii2
ZOETROPE	s@@0 i1 thr@@p3
ZOIC	s@@0 ik1
ZOLLVEREIN	s@@l0 fq1 raaj0
ZOMBIE	s@@m0 bii2
ZOMBIED	s@@m0 bii2
ZOMBIEING	s@@m0 bii2 ing2
ZOMBIES	s@@m0 bis3
ZONAL	soo0 nql2
ZONE	soon0
ZONED	soon0
ZONELESS	soon0 les1
ZONER	soo0 nqq2
ZONER	soo0 nqq2
ZONERS	soo0 nqq2
ZONERS	soo0 nees1
ZONES	soon0
ZONETIME	soon0 thaam0
ZONETIMES	soon0 thaam0
ZONIAN	soo0 niian2
ZONIANS	soo0 niian2
ZONIFEROUS	soo0 ni3 fq1 rqqs2
ZONING	soo0 ning2
ZOO	suu0
ZOOGEOGRAPHIC	suu0 cii0 aa0 kraaf3 fik1
ZOOGEOGRAPHICAL	suu0 cii0 oo0 kraaf3 fi3 khql2
ZOOGEOGRAPHY	suu0 ci1 @@0 kraaf3 fii2
ZOOGRAPHER	s@@0 @1 krq1 fqq2
ZOOGRAPHY	s@@0 @1 krq1 fii2
ZOOKS	suuk3
ZOOLITE	s@@0 q1 laj3
ZOOLOGIC	s@@0 q1 l@@0 cik1
ZOOLOGICAL	suu0 q1 loo0 ci1 khql2
ZOOLOGICALLY	suu0 q1 loo0 ci1 khq1 lii2
ZOOLOGIST	suu0 @@0 lq1 cis3
ZOOLOGISTS	suu0 @@0 lq1 cis3
ZOOLOGY	suu0 @@0 lq1 cii2
ZOOM	suum0
ZOOMANIAS	suum0 men0 niias3
ZOOMED	suum0
ZOOMING	suum0 ming2
ZOOMINGS	suum0 ming2
ZOOMORPHIC	s@@0 @@3 m@@0 fik1
ZOOMS	suum0
ZOON	s@@0 @@n2
ZOONS	s@@0 @@n2
ZOOPARASITIC	suu0 phxx0 rq1 sit3 thik1
ZOOPATHOLOGIES	suu0 phq1 th@@0 lq1 cis1
ZOOPATHOLOGY	suu0 phq1 th@@0 lq1 cii2
ZOOPHILES	suu0 fil0
ZOOPHOBIA	suu0 foo0 biia1
ZOOPHYTE	s@@0 q1 faaj3
ZOOPHYTES	s@@0 q1 faaj3
ZOOPLANKTON	suu0 phlxxng3 tan2
ZOOS	suu0
ZOOSPORES	suu0 sa1 poos2
ZOOT	suut3
ZOOTOMIST	soo0 @t3 thq1 mii2
ZOOTOMY	soo0 @t3 thq1 mii2
ZORIL	s@@0 ril0
ZOROASTRIAN	s@@0 roo0 xs3 triian2
ZOROASTRIANISM	s@@0 roo0 xs3 triian0 nis3 svm2
ZOROASTRIANS	s@@0 roo0 xs3 triian2
ZOUAVE	suu0 aaf3
ZOUAVES	suu0 aaf3
ZOUCH	suuch1
ZUCCHINI	suu0 kii0 nii2
ZUCCHINIS	suu0 kii0 nees1
ZUCCHINO	suu0 kii0 noo2
ZULU	suu0 luu0
ZULUS	suu0 luu0
ZURICH	suu0 rik1
ZURICK	suu0 rik1
ZWIEBACK	sa1 wii0 bxk3
ZWIEBACKS	sa1 wii0 bxk3
ZYGOMA	saj3 k@@0 mqq2
ZYGOMATA	saj3 k@@0 mq1 tqq2
ZYMOSCOPE	saaj0 m@@0 sa1 khoop1
ZYMOSIS	saaj0 m@@0 sis1
ZYMOTIC	saaj0 m@@0 thik1
ZASLAVSKAYA	sxs3 sa1 laaf3 sa1 kaa0 jaa2
ZENTRALSPARKASSE	sen0 thr@l2 sa1 paa0 kaas3 sii2
ZILLIONAIRE	sil0 liian2 nxx0
ZLOMSOWITCH	sa1 lam0 soo0 wich1
ZWETCHKENBAUM	sa1 wech3 khen2 b@@m0
