BA	bee0
BACKFIRED	bxk3 faaj0 qq2
BACKFIRES	bxk3 faaj0 qq2
BACKFIRING	bxk3 faaj0 qq2 ring2
BACKFOOT	bxk3 fut3
BACKFORD	bxk3 f@@t1
BACKGAME	bxk3 keem0
BACKGAMMON	bxk3 kxxm0 mqn2
BACKGROUND	bxk3 kraaw0
BACKGROUNDED	bxk3 kraaw0 det1
BACKGROUNDER	bxk3 kraaw0 dqq2
BACKGROUNDERS	bxk3 kraaw0 dqq2
BACKGROUNDING	bxk3 kraaw0 ding2
BACKGROUNDS	bxk3 kraaw0
BACKHAM	bxk3 hxxm2
BACKHAND	bxk3 hxxn0
BACKHANDED	bxk3 hxxn0 det1
BACKHANDEDLY	bxk3 hxxn0 det1 lii2
BACKHANDEDNESS	bxk3 hxxn0 dit1 nees1
BACKHANDER	bxk3 hxxn0 dqq2
BACKHANDERS	bxk3 hxxn0 dqq2
BACKHANDING	bxk3 hxxn0 ding2
BACKHANDS	bxk3 hxxn0
BACKHEAD	bxk3 heet3
BACKHOE	bxk3 hoo2
BACKHOES	bxk3 hoo0
BACKHOUSE	bxk3 haaw3
BACKHOUSES	bxk3 haaw3 ses1
BACKHURST	bxk3 hqqs3
BACKING	bxk3 king2
BACKINGS	bxk3 king2
BACKLAND	bxk3 lxxn0
BACKLANDS	bxk3 lxxn0
BACKLASH	bxk3 lxch3
BACKLASHED	bxk3 lxch3
BACKLASHER	bxk3 lxch3 chqq2
BACKLASHERS	bxk3 lxch3 chqq2
BACKLASHES	bxk3 lxch3 ches1
BACKLASHING	bxk3 lxch3 ching2
BACKLEGS	bxk3 lek1
BACKLESS	bxk3 lqs2
BACKLEY	bxk3 lee2
BACKLEYS	bxk3 lee2
BACKLIGHT	bxk3 laj3
BACKLIGHTED	bxk3 laj3 thet1
BACKLIGHTING	bxk3 laj3 ting2
BACKLIGHTS	bxk3 laj3
BACKLIN	bxk3 lin2
BACKLINGS	bxk3 ling2
BACKLIST	bxk3 lis3
BACKLISTS	bxk3 lis3
BACKLIT	bxk3 lit1
BACKLOG	bxk3 l@k3
BACKLOGGED	bxk3 l@k3
BACKLOGGING	bxk3 l@k3 king2
BACKLOGS	bxk3 l@k3
BACKMAN	bxk3 mxxn0
BACKMOST	bxk3 moos3
BACKOFF	bxk3 kh@@f3
BACKPACK	bxk3 phxk3
BACKPACKED	bxk3 phxk3
BACKPACKER	bxk3 phxk3 kqq2
BACKPACKERS	bxk3 phxk3 kqq2
BACKPACKING	bxk3 phxk3 king2
BACKPACKS	bxk3 phxk3
BACKPEDAL	bxk3 pheet3 dql2
BACKPEDALED	bxk3 pheet3 dql2
BACKPEDALING	bxk3 pheet3 dql2 ling2
BACKPEDALLED	bxk3 pheet3 dql2
BACKPEDALLING	bxk3 pheet3 dql2 ling2
BACKPEDALS	bxk3 pheet3 dql2
BACKPEDDLED	bxk3 pheet3 dql2
BACKPEDDLING	bxk3 pheet3 ling2
BACKPERCOLATION	bxk3 phqq0 khql2 lee0 chan2
BACKPOINTER	bxk3 ph@@j3 tqq2
BACKPOINTERS	bxk3 ph@@j3 tqq2
BACKPROPAGATE	bxk3 phr@3 phq1 kheet1
BACKPROPAGATED	bxk3 phr@3 phq1 khee0 thet1
BACKPROPAGATION	bxk3 phr@3 phq1 khee3 chan2
BACKREST	bxk3 res3
BACKRESTS	bxk3 res3
BACKROOM	bxk3 ruum0
BACKROOMS	bxk3 ruum0
BACKS	bxk3
BACKSAW	bxk3 s@@0
BACKSAWS	bxk3 s@@0
BACKSCRAPER	bxk3 sa1 khreep3 pqq2
BACKSCRATCH	bxk3 sa1 khrxch3
BACKSCRATCHER	bxk3 sa1 khrxch3 chqq2
BACKSCRATCHERS	bxk3 sa1 khrxch3 chqq2
BACKSCRATCHING	bxk3 sa1 khrxch3 ching2
BACKSEAT	bxk3 siit1
BACKSEATERS	bxk3 sii0 tqq2
BACKSEATS	bxk3 siit1
BACKSET	bxk3 set1
BACKSETTING	bxk3 set3 ting2
BACKSETTLER	bxk3 set3 lqq2
BACKSHEESH	bxk3 chiich3
BACKSHEET	bxk3 chiit3
BACKSHEETS	bxk3 chiit3
BACKSHISH	bxk3 chiich3
BACKSIDE	bxk3 saj3
BACKSIDES	bxk3 saj3
BACKSLAP	bxk3 sa1 lxp3
BACKSLAPPED	bxk3 sa1 lxp3
BACKSLAPPER	bxk3 sa1 lxp3 pqq2
BACKSLAPPERS	bxk3 sa1 lxp3 pqs1
BACKSLAPPING	bxk3 sa1 lxp3 ping2
BACKSLAPS	bxk3 sa1 lxp3
BACKSLASH	bxk3 sa1 lxch3
BACKSLASHED	bxk3 sa1 lxch3
BACKSLASHES	bxk3 sa1 lxch3 ches1
BACKSLASHING	bxk3 sa1 lxch3 ching2
BACKSLAT	bxk3 sa1 lxt3
BACKSLID	bxk3 sa1 lit3
BACKSLIDDEN	bxk3 sa1 lit3 deen2
BACKSLIDE	bxk3 sa1 laj3
BACKSLIDER	bxk3 sa1 laj3 dqq2
BACKSLIDERS	bxk3 sa1 laj3 dqq2
BACKSLIDES	bxk3 sa1 laj3
BACKSLIDING	bxk3 sa1 laj3 ding2
BACKSLIDINGS	bxk3 sa1 laj3 ding2
BACKSON	bxk3 san2
BACKSPACE	bxk3 sa1 pees3
BACKSPACED	bxk3 sa1 pees3
BACKSPACER	bxk3 sa1 pees3 sqq2
BACKSPACES	bxk3 sa1 pees3 ses1
BACKSPACING	bxk3 sa1 pees3 sing2
BACKSPIN	bxk3 sa1 pin0
BACKSPINS	bxk3 sa1 pin0
BACKSTAB	bxk3 sa1 txxp3
BACKSTABBED	bxk3 sa1 txxp3
BACKSTABBER	bxk3 sa1 txxp3 bqq2
BACKSTABBERS	bxk3 sa1 txxp3 bqq2
BACKSTABBING	bxk3 sa1 txxp3 bing2
BACKSTABBINGS	bxk3 sa1 txxp3 bing2
BACKSTAFF	bxk3 sa1 taaf3
BACKSTAGE	bxk3 sa1 theec1
BACKSTAGER	bxk3 sa1 thee3 cqq2
BACKSTAGES	bxk3 sa1 teec1 cis1
BACKSTAIR	bxk3 sa1 txx0
BACKSTAIR	bxk3 sa1 txx0
BACKSTAIRS	bxk3 sa1 txx0
BACKSTAY	bxk3 sa1 tee0
BACKSTAYS	bxk3 sa1 tee0
BACKSTEAD	bxk3 sa1 teet1
BACKSTEPPING	bxk3 sa1 tep3 ping2
BACKSTEPS	bxk3 sa1 tep1
BACKSTER	bxk3 sa1 tqq2
BACKSTICK	bxk3 sa1 tik1
BACKSTITCH	bxk3 sa1 tich3
BACKSTITCHED	bxk3 sa1 tich3
BACKSTITCHES	bxk3 sa1 tich3 ches1
BACKSTITCHING	bxk3 sa1 tich3 ching2
BACKSTONE	bxk3 sa1 toon0
BACKSTOP	bxk3 sa1 t@p3
BACKSTOPPED	bxk3 sa1 t@p3
BACKSTOPS	bxk3 sa1 t@p3
BACKSTRAIGHT	bxk3 sa1 treet3
BACKSTRAIN	bxk3 sa1 treen0
BACKSTRAP	bxk3 sa1 trxp3
BACKSTRAPS	bxk3 sa1 trxp3
BACKSTREET	bxk3 sa1 triit1
BACKSTREETS	bxk3 sa1 triit1
BACKSTRETCH	bxk3 sa1 trech3
BACKSTRETCHERS	bxk3 sa1 trech3 chqq2
BACKSTRETCHES	bxk3 sa1 trech3 ches1
BACKSTRING	bxk3 sa1 tring2
BACKSTRIP	bxk3 sa1 trip3
BACKSTRIPE	bxk3 sa1 traj3
BACKSTROKE	bxk3 sa1 trook3
BACKSTROKED	bxk3 sa1 trook3
BACKSTROKER	bxk3 sa1 tr@@0 kqq2
BACKSTROKERS	bxk3 sa1 tr@@0 kqq2
BACKSTROKES	bxk3 sa1 trook1
BACKSTROKING	bxk3 sa1 tr@@0 king2
BACKSTROM	bxk3 sa1 tr@m0
BACKSUBSTITUTION	bxk3 sap3 sa1 ti1 thiw0 chan2
BACKSWEPT	bxk3 sa1 wep3
BACKSWORD	bxk3 s@@t1
BACKSWORDING	bxk3 s@@t3 ding2
BACKSWORDS	bxk3 s@@t1
BACKSWORDSMAN	bxk3 s@@t3 mqn2
BACKTALK	bxk3 th@@k3
BACKTRACE	bxk3 threes3
BACKTRACING	bxk3 three0 sing2
BACKTRACK	bxk3 thrxk3
BACKTRACKED	bxk3 thrxk3
BACKTRACKER	bxk3 thrxk3 kqq2
BACKTRACKERS	bxk3 thrxk3 kqq2
BACKTRACKIN	bxk3 thrxk3 kin2
BACKTRACKING	bxk3 thrxk3 king2
BACKTRACKINGS	bxk3 thrxk3 king2
BACKTRACKS	bxk3 thrxk3
BACKUP	bxk3 khap2
BACKUPS	bxk3 khap2
BACKUSES	bxk3 khiw3 ses1
BACKWALL	bxk3 w@@l0
BACKWARD	bxk3 wqt1
BACKWARDLY	bxk3 wqt1 lii2
BACKWARDNESS	bxk3 wqt1 nees1
BACKWARDS	bxk3 wqt1
BACKWASH	bxk3 w@ch3
BACKWASHED	bxk3 w@ch3
BACKWASHER	bxk3 w@ch3 chqq2
BACKWASHES	bxk3 w@ch3 ches1
BACKWASHING	bxk3 w@ch3 ching2
BACKWATER	bxk3 w@@0 thqq2
BACKWATERED	bxk3 w@@0 thqt2
BACKWATERS	bxk3 w@@0 tqq2
BACKWELD	bxk3 weel0
BACKWELL	bxk3 weel0
BACKWOOD	bxk3 wuut3
BACKWOODS	bxk3 wuut3
BACKWOODSMAN	bxk3 wuut3 mqn2
BACKWOODSMANSHIP	bxk3 wuut3 mqn2 chip3
BACKWOODSMEN	bxk3 wuut3 mqn2
BACKWORTH	bxk3 wqt1
BACKYARD	bxk3 jaat3
BACKYARDS	bxk3 jaat3
BACON	bee0 khqn2
BACONER	bee0 khqn0 nqq2
BACONERS	bee0 khq1 nees1
BACONIAN	bee0 kh@@0 niian2
BACONIANISM	bee0 kh@@0 niia0 nis3 svm2
BACONS	bee0 khqn2
BACTERIA	bxk3 thii0 riia0
BACTERIAL	bxk3 thii0 riial2
BACTERIALLY	bxk3 thii0 riial2 lii2
BACTERIALS	bxk3 thii0 riial2
BACTERIAN	bxk3 thii0 riian2
BACTERIAS	bxk3 thii0 riias2
BACTERIC	bxk3 thq1 rik1
BACTERICIDES	bxk3 thq1 ri3 kaaj3
BACTERIOLOGIC	bxk3 thii0 riial0 l@@0 cik1
BACTERIOLOGICAL	bxk3 thii0 riial0 l@@0 cik1 khql2
BACTERIOLOGICALLY	bxk3 thii0 riial0 loo0 ci1 khq1 lii2
BACTERIOLOGIST	bxk3 thii0 ri3 @@l0 lq1 cis3
BACTERIOLOGISTS	bxk3 thii0 ri3 @@l0 lq1 cis3
BACTERIOLOGY	bxk3 thii0 ri3 @@l0 lq1 cii2
BACTERIOUS	bxk3 thii0 riias2
BACTERIUM	bxk3 thii0 riiam2
BACTERIZATION	bxk3 thq1 raj3 see0 chan2
BACTERIZE	bxk3 thq1 raj3
BACTON	bxk3 thqn2
BACTRIA	bxk3 thriia0
BACTRIAN	bxk3 thriian2
BACTRIANS	bxk3 thriian2
BACTRIUM	bxk3 thriiam2
BACUP	bee0 khqp3
BAD	bxxt3
BADAJOZ	bxxt3 dq1 h@s3
BADALONA	bxxt3 dql2 loon0 nqq2
BADDIE	bxxt3 daaj0 ii2
BADDIES	bxxt3 daaj3
BADDISH	bxxt3 dich1
BADDISHLY	bxxt3 dich3 lii2
BADDISHNESS	bxxt3 dich1 nees1
BADE	bxxt1
BADEAU	bxx0 doo2
BADENES	bxx0 deen2
BADER	bxx0 dqq2
BADGE	bxc3
BADGED	bxc3
BADGER	bxc3 cqq2
BADGERD	bxc3 cqq2
BADGERED	bxc3 cqq2
BADGERING	bxc3 cq1 ring2
BADGERINGLY	bxc3 cq1 ring2 lii2
BADGERISH	bxc3 cq1 rich3
BADGERS	bxc3 cqq2
BADGES	bxc3 cis1
BADGET	bxxt3 ket1
BADINAGE	bxx0 di1 naac1
BADINAGED	bxx0 di1 naach1
BADINAGES	bxx0 di1 naach3 ches1
BADINAN	bxx0 di1 nxxn2
BADING	bxx0 ding2
BADINGER	bxx0 ding0 ngqq2
BADINGTON	bxx0 ding0 tan2
BADIOLI	bxx0 di1 @@0 laaj0
BADISH	bxx0 dich1
BADLAND	bxxt3 lxxn0
BADLANDS	bxxt3 lxxn0
BADLEES	bxxt3 dql2 lii2
BADLEY	bxxt3 lii2
BADLY	bxxt3 lii2
BADMAN	bxxt3 mxxn0
BADMEN	bxxt3 men0
BADMINGTON	bxxt3 min0 tan2
BADMINTON	bxxt3 min0 tan2
BADMINTONS	bxxt3 min0 tan2
BADMOUTH	bxxt3 maw3
BADMOUTHED	bxxt3 maw3
BADMOUTHING	bxxt3 maw3 ding2
BADMOUTHS	bxxt3 maw3
BADNESS	bxxt3 nees1
BADNESSES	bxxt3 nqs3 ses1
BADOUR	bxx0 daaw0 wqq2
BAFFLE	bxf3 fql2
BAFFLED	bxf3 fql2
BAFFLER	bxf3 fql2 lqq2
BAFFLERS	bxf3 fql2 lqs2
BAFFLES	bxf3 fql2
BAFFLING	bxf3 fling2
BAFFLINGLY	bxf3 fling2 lii2
BAFFLINGNESS	bxf3 fling0 nees1
BAG	bxk3
BAGATELL	bxk3 kq1 theel0
BAGATELLE	bxk3 kq1 theel0
BAGATELLES	bxk3 kq1 theel0
BAGATINE	bxk3 kq1 thaaj0
BAGDAD	bxk1 dxxt1
BAGDADIAN	bxk1 dxx0 diian2
BAGDADS	bxk1 dxxt1
BAGDON	bxk3 d@@n2
BAGEND	bxk3 keen0
BAGGAGE	bxk3 kic1
BAGGAGEMAN	bxk3 kic1 mxxn0
BAGGAGEMEN	bxk3 kic1 men0
BAGGAGER	bxk3 kic1 cqq2
BAGGAGES	bxk3 kic1 cis1
BAGGED	bxk3
BAGGER	bxk3 kqq2
BAGGERS	bxk3 kqq2
BAGGIEST	bxk3 ki1 es1
BAGGILY	bxk3 ki1 lii2
BAGGIN	bxk3 kin2
BAGGINESS	bxk3 ki1 nees1
BAGGING	bxk3 king2
BAGGINGS	bxk3 king2
BAGGINS	bxk3 cin2
BAGGIS	bxk3 kis2
BAGGOT	bxk3 k@t1
BAGGY	bxk3 kii2
BAGGYS	bxk3 kii2
BAGHDAD	bxk3 dxxt1
BAGHDADS	bxk3 dxxt1
BAGLADESHIS	bxk3 lq1 dech3 ches1
BAGLAN	bxk3 lqn2
BAGLAR	bxk3 laa2
BAGLEAVES	bxk3 liif3
BAGLEY	bxk3 lee2
BAGLIKE	bxk3 laj3
BAGMAN	bxk3 mqn2
BAGMEN	bxk3 mqn2
BAGNAR	bxk3 nqq2
BAGNARD	bxk3 naat1
BAGNATO	bxk3 neet3 thoo2
BAGNELL	bxk3 neel0
BAGNIO	baan0 nii0 oo2
BAGNIOS	baa0 nii0 oos2
BAGNOR	bxk3 noo2
BAGPIES	bxk3 phaj3
BAGPIPE	bxk3 phaj3
BAGPIPED	bxk3 phaj3
BAGPIPER	bxk3 phaj3 pqq2
BAGPIPERS	bxk3 phaj3 pqs1
BAGPIPES	bxk3 phaj3
BAGPIPING	bxk3 phaj3 ping2
BAGS	bxk3
BAGSHAW	bxk3 ch@@0
BAGSHAWED	bxk3 ch@@0
BAGSHAWS	bxk3 ch@@0
BAGWELL	bxk3 weel0
BAGWIG	bxk3 wik3
BAGWIGS	bxk3 wik3
BAGWORM	bxk3 wqqm0
BAGWORMS	bxk3 wqqm0
BAH	baa2
BAHADUR	bqq0 haa0 dqq2
BAHAMA	bqq0 haa0 mqq2
BAHAMAS	bqq0 haa0 mqq2
BAHAMIAN	bqq0 haa0 miian2
BAHAMIANS	bqq0 haa0 miian2
BAHAN	bqq0 hqn2
BAHASA	bqq0 haa0 sqq2
BAHING	baa0 ing2
BAHMAN	baa0 mxxn0
BAHRAIN	baa0 reen0
BAHRAINI	baa0 reen0 nii2
BAHRAINIAN	baa0 reen0 niian2
BAHRAINIS	baa0 reen0 nees1
BAHRES	baa0 rii2
BAIGNOIRE	bee0 n@@j0
BAIL	beel0
BAILABA	beel0 lq1 bqq2
BAILABLE	beel0 lee0 bql2
BAILABLES	beel0 lee0 bql2
BAILED	beel0
BAILEE	beel0 lii2
BAILEES	beel0 lii2
BAILER	beel0 lqq2
BAILERS	beel0 lqs2
BAILES	beel0
BAILEY	beel0 lii2
BAILEYS	beel0 lis3
BAILIES	beel0 lis3
BAILIFF	beel0 lif3
BAILIFFS	beel0 lif3
BAILING	beel0 ling2
BAILIWICK	beel0 li3 wik3
BAILIWICKS	beel0 li3 wik3
BAILLARD	beel0 laat1
BAILLIE	beel0 lii2
BAILLIES	beel0 lii2
BAILMENT	beel0 men3
BAILMENTS	beel0 men3
BAILOR	beel0 loo2
BAILOR	beel0 loo2
BAILORS	beel0 loos2
BAILOUT	beel0 laaw0
BAILOUTS	beel0 laaw0
BAILS	beel0
BAILSMAN	beel0 mxxn0
BAILSMEN	beel0 men0
BAIRN	bxxn2
BAIRNS	bxxn2
BAIT	beet1
BAITED	beet3 thet1
BAITER	beet3 tqq2
BAITERS	beet3 tqq2
BAITING	beet3 ting2
BAITINGER	beet3 ting2 ngqq2
BAITINGS	beet3 ting2
BAITS	beet1
BAIZE	bees1
BAIZED	bees1
BAIZER	bees3 sqq2
BAIZES	bees3 ses1
BAKE	beek3
BAKED	beek3
BAKEHOUSE	beek3 haaw3
BAKEHOUSES	beek3 haaw3 ses1
BAKEING	bee0 king2
BAKELITE	bee0 khql2 laj3
BAKEMAN	beek3 mxxn0
BAKEMEATS	beek3 miit1
BAKER	beek3 kqq2
BAKERFIELD	bee0 kq1 fiil0
BAKERIES	bee0 kqq0 rii2
BAKERISM	bee0 kq1 ris3 svm2
BAKERITE	bee0 kqq0 rit1
BAKERITES	bee0 kqq0 rit1
BAKERS	bee0 kqq2
BAKERSFIELD	bee0 kqqs2 fiil0
BAKERY	bee0 kqq0 rii2
BAKES	beek3
BAKESHOP	beek3 ch@p1
BAKESHOPS	beek3 ch@p1
BAKEWARE	beek3 wxx0
BAKEWELL	beek3 weel0
BAKEWELLS	beek3 weel0
BAKING	beek3 king2
BAKINGLY	beek3 king2 lii2
BAKINGS	beek3 king2
BAKSHEESH	bxk3 chiich3
BAKSHEESHES	bxk3 chiich3 ches1
BAKSHISH	bxk3 chiich3
BAKU	bxk3 khuu0
BALAAM	beel0 lxxm0
BALACLAVA	bxx0 lqk3 laa0 wqq2
BALACLAVAS	bxx0 lqk3 laa0 wqq2
BALALAIKA	bxx0 lq1 laj3 kqq2
BALALAIKAS	bxx0 lq1 laj3 kqq2
BALAN	bxx0 lqn2
BALANCE	bxx0 laan3
BALANCEABLE	bxx0 laan3 see0 bql2
BALANCED	bxx0 laan3
BALANCER	bxx0 laan3 sqq2
BALANCERS	bxx0 laan3 sqq2
BALANCES	bxx0 laan3 ses1
BALANCHINE	bxx0 laan3 chaaj0
BALANCHINES	bxx0 laan3 chaaj0
BALANCING	bxx0 laan3 sing2
BALANCINGS	bxx0 laan3 sing2
BALANCY	bxx0 laan0 sii2
BALAND	bxx0 lxxn0
BALANDA	bxx0 lxxn0 dqq2
BALANDER	bxx0 lxxn0 dqq2
BALANISM	bxx0 lxxn0 nis3 svm2
BALANOFF	bxx0 lxxn0 n@@f3
BALANS	bxx0 lxxn0
BALANSON	bxx0 lxxn0 san2
BALANT	bxx0 lxxn3
BALANTE	bxx0 lxxn3 tii2
BALCOMB	bxxl0 kh@@m0
BALCOMBE	bxxl0 khqm2
BALCON	bxxl0 khqn2
BALCONES	bxxl0 khqn2
BALCONIED	bxxl0 kqn2 nit1
BALCONIES	bxxl0 kqn2 nees1
BALCONS	bxxl0 khqn2
BALCONY	bxxl0 kqn2 nii2
BALD	bool0
BALDACHIN	b@@l0 dq1 kin2
BALDACHINED	b@@l0 dq1 kin0
BALDACHINS	b@@l0 dq1 kin2
BALDAM	bool0 dqm2
BALDED	bool0 det1
BALDEN	bool0 dqn2
BALDENS	bool0 dqn2
BALDER	bool0 dqq2
BALDERAS	bool0 diia0 rqqs2
BALDERDASH	bool0 dq1 dxch3
BALDERMAN	bool0 dq1 mqn2
BALDERS	bool0 dqq2
BALDERSON	b@@l0 dqq0 san2
BALDERSTON	b@@l0 dq1 sa1 tan2
BALDERSTONE	b@@l0 dqq0 sa1 toon0
BALDERTON	b@@l0 dqq0 tan2
BALDES	bool0
BALDEST	bool0 dis1
BALDHEAD	bool0 heet3
BALDHEADS	bool0 heet3
BALDIE	b@@l0 daaj0 ii2
BALDIES	b@@l0 daaj0 ii2
BALDING	bool0 ding2
BALDINGER	b@@l0 ding0 ngqq2
BALDLING	b@@l0 dql2 ling2
BALDLY	b@@l0 dql2 lii2
BALDNESS	bool0 nees1
BALDOCK	b@@l0 d@k3
BALDON	b@@l0 d@@n2
BALDONADO	b@@l0 d@@0 nq1 duu0
BALDPATE	bool0 phxt3 thee0
BALDPATES	bool0 pheet3
BALDRIB	b@@l0 drip3
BALDRIC	b@@l0 drik1
BALDRICK	b@@l0 drik1
BALDRICKED	b@@l0 drik1
BALDRICKS	b@@l0 drik1
BALDRICS	b@@l0 drik1
BALDRIDGE	b@@l0 dric1
BALDRY	b@@l0 drii2
BALDS	bool0
BALDWICK	b@@l0 wik3
BALDWIN	b@@l0 win2
BALDWINS	b@@l0 win2
BALDWINSON	b@@l0 win0 san2
BALE	beel0
BALEARIC	bxx0 li3 xx0 rik1
BALEARICS	bxx0 li3 xx0 rik1
BALED	beel0
BALEEN	bqq0 liin0
BALEENS	bqq0 liin0
BALEFIRE	beel0 faaj0 qq2
BALEFIRES	beel0 faaj0 qq2
BALEFUL	beel0 fuul0
BALEFULLY	beel0 fql2 lii2
BALEFULNESS	beel0 fql2 nees1
BALER	beel0 lqq2
BALERS	beel0 lqs2
BALES	beel0
BALESES	beel0 ses1
BALESSING	beel0 sing2
BALING	beel0 ling2
BALINGER	beel0 ling0 ngqq2
BALK	b@@k1
BALKAMP	b@@l0 khxxm3
BALKED	b@@l1
BALKER	b@@k3 kqq2
BALKERS	b@@k3 kqq2
BALKES	b@@k3
