O	oo0
OBELISK	oo0 bqq0 lis3
OBELISKS	oo0 bqq0 lis3
OBELISM	oo0 bqq0 lis3 svm2
OBELUS	oo0 bi1 lqq2
OBERER	oo0 bqq0 rqq2
OBERHAUSEN	oo0 bqq0 haaw3 sqn2
OBERING	oo0 bqq0 ring2
OBERLAND	oo0 bqq0 lxxn0
OBERLANDER	oo0 bqq0 lxxn0 dqq2
OBERLEY	oo0 bqq0 lii2
OBERLING	oo0 bqq0 ling2
OBERLY	oo0 bqq0 lii2
OBERMAN	oo0 bqq0 mxxn0
OBERMANN	oo0 bqq0 mxxn0
OBESE	oo0 biis3
OBESER	oo0 biis3 sqq2
OBESITIES	oo0 biis3 si3 tii2
OBESITY	oo0 biis3 si3 tii2
OBEY	a1 bee0
OBEYABLE	a1 bee0 ee0 bql2
OBEYANCE	a1 bee0 en3
OBEYED	a1 beet2
OBEYER	a1 bee0 jqq2
OBEYERS	a1 bee0 jqq2
OBEYES	a1 bees1
OBEYING	a1 bee0 ing2
OBEYS	a1 bees1
OBFUSCATE	@@p3 fqs3 kheet1
OBFUSCATED	@@p3 fqs3 khee0 thet1
OBFUSCATER	@@p3 fqs3 khee0 tqq2
OBFUSCATES	@@p3 fqs3 kheet1
OBFUSCATING	@@p3 fqs3 kheet3 ting2
OBFUSCATION	@@p3 fas3 khee0 chan2
OBFUSCATIONS	@@p3 fas3 khee0 chan2
OBFUSCATOR	@@p3 fqs3 khee0 tqq2
OBFUSCATORS	@@p3 fqs3 khee0 tqq2
OBI	oo0 bii2
OBIS	oo0 bii2
OBIT	@@p3 bit1
OBITER	oo0 bi3 thqq2
OBITS	@@p3 bit1
OBITUAL	a1 bi3 chuual2
OBITUARIES	a1 bi3 chuua0 rii2
OBITUARIST	a1 bi3 chuua0 ris3
OBITUARISTS	a1 bi3 chuua0 ris3
OBITUARY	a1 bi3 chuua0 rii2
OBITUARY	a1 bi3 chuua0 rii2
OBJECT	qp3 cek1
OBJECT	@@p3 cek1
OBJECTA	qp3 cek3 tqq2
OBJECTABLE	qp3 cek3 thee0 bql2
OBJECTANT	qp3 cek3 ten3
OBJECTATION	qp3 cek3 thee0 chan2
OBJECTD	qp3 cek3 thet1
OBJECTD	@@p3 cek3 thet1
OBJECTED	qp3 cek3 thet1
OBJECTEE	qp3 cek3 tii2
OBJECTER	qp3 cek3 tqq2
OBJECTIFIABLE	@@p3 cek3 thi1 faaj0 ee0 bql2
OBJECTIFICATION	@@p3 cek3 thi1 fi3 khee0 chan2
OBJECTIFICATIONS	@@p3 cek3 thi1 fi3 khee0 chan2
OBJECTIFIED	@@p3 cek3 thi1 faaj0
OBJECTIFIES	@@p3 cek3 thi1 faaj0
OBJECTIFY	@@p3 cek3 thi1 faaj0
OBJECTIFYING	@@p3 cek3 thi1 faaj0 ing2
OBJECTING	qp3 cek3 ting2
OBJECTION	qp3 cek3 chan2
OBJECTIONABILITY	qp3 cek3 chan2 q1 bi1 li3 tii2
OBJECTIONABLE	qp3 cek3 chan2 nqs1 bql2
OBJECTIONABLENESS	qp3 cek3 chan2 nqs1 bql2 nees1
OBJECTIONABLY	qp3 cek3 chan2 nee0 blii2
OBJECTIONAL	qp3 cek3 chan2 n@l2
OBJECTIONER	qp3 cek3 chan2 nqq2
OBJECTIONIST	qp3 cek3 chan2 nis3
OBJECTIONS	qp3 cek3 chan2
OBJECTISE	@@p3 cek3 tis1
OBJECTISES	@@p3 cek3 tis3 ses1
OBJECTIVATE	qp3 cek3 ti1 weet1
OBJECTIVATION	qp3 cek3 ti1 wee0 chan2
OBJECTIVE	qp3 cek3 thiif1
OBJECTIVELY	qp3 cek3 thiif1 lii2
OBJECTIVENESS	qp3 cek3 thiif1 nees1
OBJECTIVES	qp3 cek3 thiif1
OBJECTIVISES	@@p3 cek3 ti1 wis3 ses1
OBJECTIVISM	@@p3 cek3 ti1 wis3 svm2
OBJECTIVIST	@@p3 cek3 ti1 wis3
OBJECTIVISTIC	@@p3 cek3 ti1 wis3 tik1
OBJECTIVISTS	@@p3 cek3 ti1 wis3
OBJECTIVITIES	@@p3 cek3 ti1 wi3 tii2
OBJECTIVITY	@@p3 cek3 thi1 wi3 tii2
OBJECTIVIZE	@@p3 cek3 ti1 waaj3
OBJECTIVIZES	@@p3 cek3 ti1 waaj3 ses1
OBJECTLESS	qp3 cek3 les1
OBJECTLESSLY	qp3 cek3 lqs1 lii2
OBJECTLESSNESS	qp3 cek3 lqs1 nees1
OBJECTOR	qp3 cek3 tqq2
OBJECTOR	qp3 cek3 tqq2
OBJECTORS	qp3 cek3 tqq2
OBJECTS	qp3 cek1
OBJECTS	@@p3 cek1
OBJURGATE	@@p3 cq1 keet1
OBJURGATED	@@p3 cq1 kee3 thet1
OBJURGATES	@@p3 cq1 keet1
OBJURGATING	@@p3 cq1 kee3 ting2
OBJURGATION	@@p3 cq1 kee0 chan2
OBJURGATIONS	@@p3 cq1 kee0 chan2
OBJURGATORILY	@@p3 cqq0 kq1 thq1 ri1 lii2
OBJURGATORY	@@p3 cqq0 kq1 thq1 rii2
OBLANDER	@@p3 lxxn0 dqq2
OBLATE	@@p3 leet1
OBLATELY	@@p3 leet3 lii2
OBLATENESS	@@p3 leet1 nees1
OBLATES	@@p3 leet1
OBLATION	qp3 lee0 chan2
OBLATIONAL	qp3 lee0 chan2 n@l2
OBLATIONARY	qp3 lee0 chan2 nq1 rii2
OBLATIONS	qp3 lee0 chan2
OBLIGABILITY	@@p3 bli3 kq1 bi1 li3 tii2
OBLIGABLE	@@p3 bli3 kee0 bql2
OBLIGANCY	@@p3 bli3 kqn1 sii2
OBLIGANT	@@p3 bli3 ken3
OBLIGATE	@@p3 bli3 keet1
OBLIGATED	@@p3 bli3 kee0 thet1
OBLIGATES	@@p3 bli3 keet1
OBLIGATING	@@p3 bli3 keet3 ting2
OBLIGATION	@@p3 bli3 kee0 chan2
OBLIGATIONAL	@@p3 bli3 kee0 chan2 n@l2
OBLIGATIONES	@@p3 bli3 kee0 chan2
OBLIGATIONS	@@p3 bli3 kee0 chan2
OBLIGATIVE	@@p3 bli3 kee0 thiif1
OBLIGATIVENESS	@@p3 bli3 kee0 thiif1 nees1
OBLIGATO	@@p3 blik3 kaa0 too2
OBLIGATOR	@@p3 blik3 kaa0 tqq2
OBLIGATOR	@@p3 blik3 kaa0 tqq2
OBLIGATORS	@@p3 blik3 kaa0 tqq2
OBLIGATORS	@@p3 blik3 kaa0 tqq2
OBLIGATORY	qp3 bli3 kq1 thq1 rii2
OBLIGATOS	@@p3 bli3 kaa0 thoos2
OBLIGE	qp3 laj3
OBLIGE	qp3 liic3
OBLIGED	qp3 laj3
OBLIGEE	@@p3 li3 cii2
OBLIGER	qp3 laaj0 cqq2
OBLIGERS	qp3 lii3 cqq2
OBLIGES	qp3 laaj0 cis1
OBLIGING	qp3 laaj0 cing2
OBLIGINGEST	qp3 laaj0 cing2 ngis1
OBLIGINGLY	qp3 laaj0 cing2 lii2
OBLIGINGNESS	qp3 laaj0 cing2 nees1
OBLIGOR	@@p3 li3 kh@@2
OBLIGORS	@@p3 li3 kh@@s2
OBLINGER	@@p3 ling0 kqq2
OBLIQUE	qp3 liik3
OBLIQUED	qp3 liik3
OBLIQUELY	qp3 liik3 lii2
OBLIQUENESS	qp3 liik3 nees1
OBLIQUES	qp3 liik3
OBLIQUITIES	qp3 li3 khwi3 tii2
OBLIQUITOUS	qp3 li3 khwit3 tqq2
OBLIQUITY	qp3 li3 khwit3 tii2
OBLITERANS	qp3 li3 thq1 rqn2
OBLITERATE	qp3 li3 thq1 reet1
OBLITERATED	qp3 li3 thq1 reet3 thet1
OBLITERATES	qp3 li3 thq1 reet1
OBLITERATI	qp3 li3 thqq0 raa0 tii2
OBLITERATING	qp3 li3 thq1 reet1 ting2
OBLITERATION	qp3 li3 thq1 ree0 chan2
OBLITERATIONS	qp3 li3 thq1 ree0 chan2
OBLITERATIVE	qp3 li3 thq1 rq1 thiif1
OBLITERATIVELY	qp3 li3 thq1 rq1 thiif3 lii2
OBLITERATOR	qp3 li3 thq1 ree0 tqq2
OBLITERATORS	qp3 li3 thq1 ree0 tqq2
OBLIVION	qp3 li3 wiian2
OBLIVIONS	qp3 li3 wiian2
OBLIVIOUS	qp3 li3 wiias2
OBLIVIOUSLY	qp3 li3 wiias2 lii2
OBLIVIOUSNESS	qp3 li3 wiias2 nees1
OBLONG	@@p3 l@@ng0
OBLONGATED	@@p3 l@@ng0 keet3 thet1
OBLONGISH	@@p3 l@@ng0 kich1
OBLONGLY	@@p3 l@@ng0 lii2
OBLONGNESS	@@p3 l@@ng0 nees1
OBLONGS	@@p3 l@@ng0
OBLOQUIES	@@p3 lq1 khwii2
OBLOQUY	@@p3 lq1 khwii2
OBNOXIOUS	qp3 n@k3 chqq2
OBNOXIOUSLY	qp3 n@k3 chqqs2 lii2
OBNOXIOUSNESS	qp3 n@k3 chqqs2 nees1
OBNOXIOUSNESSES	qp3 n@k3 chqqs2 nqs3 ses1
OBOE	oo0 boo2
OBOES	oo0 boos2
OBOIST	oo0 b@@j3
OBOISTIC	oo0 b@@0 is3 tik1
OBOISTS	oo0 b@@j3
OBOL	oo0 bool0
OBOLE	oo0 bool0
OBOLER	oo0 bool0 lqq2
OBOLS	oo0 bool0
OBSCENE	qp3 siin0
OBSCENELY	qp3 siin0 lii2
OBSCENER	qp3 siin0 nqq2
OBSCENITIES	qp3 sen0 ni3 tii2
OBSCENITY	qp3 sen0 ni3 tii2
OBSCURANCY	@@p3 sa1 khiw0 rqn0 sii2
OBSCURANS	@@p3 sa1 khiw0 rqn2
OBSCURANT	@@p3 sa1 khiw0 ren3
OBSCURANTIC	@@p3 sa1 khiw0 rxxn0 thik1
OBSCURANTICISM	@@p3 sa1 khiw0 rxxn0 thi1 sis3 svm2
OBSCURANTISM	@@p3 sa1 khiw0 rxxn0 this3 svm2
OBSCURANTIST	@@p3 sa1 khiw0 rxxn0 this3
OBSCURANTISTS	@@p3 sa1 khiw0 rxxn0 this3
OBSCURANTS	@@p3 sa1 khiw0 ren3
OBSCURATION	@@p3 sa1 khiw0 ree0 chan2
OBSCURATIONS	@@p3 sa1 khiw0 ree0 chan2
OBSCURATIVE	@@p3 sa1 khiw0 rq1 thiif1
OBSCURE	qp3 sa1 khiiaw0
OBSCURE	qp3 sa1 khiiaw0
OBSCURED	qp3 sa1 khiiaw0
OBSCURELY	qp3 sa1 khiiaw0 lii2
OBSCUREMENT	qp3 sa1 khiiaw0 men3
OBSCURER	qp3 sa1 khiiaw0 rqq2
OBSCURERS	qp3 sa1 khiiaw0 rqq2
OBSCURES	qp3 sa1 khiiaw0
OBSCURIA	qp3 sa1 khiw0 riia0
OBSCURING	qp3 sa1 khiw0 ring2
OBSCURITIES	qp3 sa1 khiw0 ri3 tii2
OBSCURITY	qp3 sa1 khiw0 ri3 tii2
OBSECRATE	@@p3 si1 khreet1
OBSECRATION	@@p3 si1 khree0 chan2
OBSECRATIONARY	@@p3 si1 khree0 chan2 rii2
OBSECRATORY	@@p3 si1 khree0 thq1 rii2
OBSECURITY	@@p3 si1 khiiaw0 ri3 tii2
OBSEQUIAL	@@p3 sii0 khwiial2
OBSEQUIES	@@p3 si1 khwii2
OBSEQUIOUS	qp3 sii0 khwiias2
OBSEQUIOUSLY	qp3 sii0 khwiias3 lii2
OBSEQUIOUSNESS	qp3 sii0 khwiias3 nees1
OBSERVABILITY	qp3 sqqf3 wq1 bi1 li3 tii2
OBSERVABLE	qp3 sqqf3 wee0 bql2
OBSERVABLENESS	qp3 sqqf3 wee0 bql2 nees1
OBSERVABLES	qp3 sqqf3 wee0 bql2
OBSERVABLY	qp3 sqqf3 wee0 blii2
OBSERVANCE	qp3 sqqf3 wen3
OBSERVANCES	qp3 sqqf3 wen3 ses1
OBSERVANCIES	qp3 sqqf3 wen0 sii2
OBSERVANCY	qp3 sqq0 wqn1 sii2
OBSERVANT	qp3 sqq0 wen3
OBSERVANTLY	qp3 sqq0 wen3 lii2
OBSERVANTNESS	qp3 sqq0 wen3 nees1
OBSERVATION	@@p3 sqq0 wee0 chan2
OBSERVATIONAL	@@p3 sqq0 wee0 chan2 n@l2
OBSERVATIONALISM	@@p3 sqq0 wee0 chan2 n@l2 lis3 svm2
OBSERVATIONALITY	@@p3 sqq0 wee0 chan2 n@l2 li3 tii2
OBSERVATIONALLY	@@p3 sqq0 wee0 chan2 n@l2 lii2
OBSERVATIONS	@@p3 sa1 wee0 chan2
OBSERVATOIRE	qp3 sqq0 wq1 thuua0
OBSERVATORIES	qp3 sqq0 wq1 thq1 rii2
OBSERVATORY	qp3 sqq0 wq1 thq1 rii2
OBSERVE	qp3 sqqf3
OBSERVED	qp3 sqqf3
OBSERVEDLY	qp3 sqqf3 wit3 lii2
OBSERVER	qp3 sqqf3 wqq2
OBSERVERS	qp3 sqqf3 wqq2
OBSERVES	qp3 sqqf3
OBSERVING	qp3 sqqf3 wing2
OBSERVINGLY	qp3 sqqf3 wing2 lii2
OBSESS	qp3 ses1
OBSESSED	qp3 ses1
OBSESSES	qp3 ses3 ses1
OBSESSING	qp3 ses3 sing2
OBSESSINGLY	qp3 ses3 sing2 lii2
OBSESSION	qp3 sech3 chan2
OBSESSIONAL	qp3 sech3 chan2 n@l2
OBSESSIONALITY	qp3 sech3 chan2 n@l2 li3 tii2
OBSESSIONALLY	qp3 sech3 chan2 n@@l2 lii2
OBSESSIONALS	qp3 sech3 chan2 n@@l2
OBSESSIONIST	qp3 sech3 chan2 nis3
OBSESSIONS	qp3 sech3 chan2
OBSESSIVE	qp3 ses3 siif1
OBSESSIVELY	qp3 ses3 siif1 lii2
OBSESSIVENESS	qp3 ses3 siif1 nees1
OBSESSIVES	qp3 ses3 siif1
OBSESSOR	qp3 ses3 sqq2
OBSESSORS	qp3 ses3 sqqs2
OBSIDIAN	qp3 sa1 diian2
OBSIDIANITE	qp3 si1 diian2 naj3
OBSIDIANS	qp3 sa1 diian2
OBSIDIONAL	qp3 si1 diian0 nql2
OBSIDIOUS	qp3 sa1 diias2
OBSOLESCE	@@p3 sa1 les1
OBSOLESCED	@@p3 sa1 les3
OBSOLESCENCE	@@p3 sa1 les3 sqn2
OBSOLESCENT	@@p3 sa1 les3 sen3
OBSOLESCENTLY	@@p3 sa1 les3 sen3 lii2
OBSOLESCING	@@p3 sa1 les3 sing2
OBSOLETE	@@p3 sa1 liit1
OBSOLETE	@@p3 sa1 liit1
OBSOLETED	@@p3 sa1 liit3 thet1
OBSOLETED	@@p3 sa1 liit3 thet1
OBSOLETELY	@@p3 sa1 liit3 lii2
OBSOLETENESS	@@p3 sa1 thqn2 nees1
OBSOLETES	@@p3 sa1 liit1
OBSOLETES	@@p3 sa1 liit1
OBSOLUTE	@@p3 sql2 luut1
OBSTACLE	@@p3 sa1 tq1 khql2
OBSTACLES	@@p3 sa1 tq1 khql2
OBSTANTIAL	@@p3 sa1 txxn0 chql2
OBSTENSIBLY	qp3 sa1 teen0 sa1 blii2
OBSTENSIVELY	qp3 sa1 teen0 siif1 lii2
OBSTETRIC	qp3 sa1 te1 trik1
OBSTETRICAL	qp3 sa1 te1 tri3 khql2
OBSTETRICALLY	qp3 sa1 te1 tri3 khq1 lii2
OBSTETRICATE	qp3 sa1 te1 tri3 kqt1
OBSTETRICATION	qp3 sa1 te1 tri3 khee0 chan2
OBSTETRICIAN	@@p3 sa1 te1 tri3 chiian2
OBSTETRICIANS	@@p3 sa1 te1 tri3 chiian2
OBSTETRICS	qp3 sa1 te1 trik1
OBSTETRIST	qp3 sa1 te1 tris3
OBSTETRIX	qp3 sa1 te1 trik1
OBSTICLES	@@p3 sa1 tq1 kql2
OBSTINACIES	@@p3 sa1 ti1 nqq0 sii2
OBSTINACIOUS	@@p3 sa1 ti1 nee0 chqq2
OBSTINACY	@@p3 sa1 ti1 nqq0 sii2
OBSTINANCE	@@p3 sa1 ti1 nen3
OBSTINATE	@@p3 sa1 ti1 neet1
OBSTINATELY	@@p3 sa1 ti1 neet3 lii2
OBSTINATENESS	@@p3 sa1 ti1 neet3 nees1
OBSTINATION	@@p3 sa1 ti1 nee0 chan2
OBSTINATIVE	@@p3 sa1 ti1 nee0 thiif1
OBSTIPATION	@@p3 sa1 ti1 phee0 chan2
OBSTREPERATE	qp3 sa1 trep3 phq1 reet1
OBSTREPEROUS	qp3 sa1 trep3 phq1 rqqs2
OBSTREPEROUSLY	qp3 sa1 trep3 phq1 ras3 lii2
OBSTREPEROUSNESS	qp3 sa1 trep3 phq1 ras3 nees1
OBSTRICTION	qp3 sa1 trik3 chan2
OBSTRINGE	qp3 sa1 trin3
OBSTRUCT	qp3 sa1 trak3
OBSTRUCTANT	qp3 sa1 trak3 then3
OBSTRUCTED	qp3 sa1 trak3 thet1
OBSTRUCTEDLY	qp3 sa1 trxk3 thet1 lii2
OBSTRUCTER	qp3 sa1 trak3 tqq2
OBSTRUCTERS	qp3 sa1 trak3 tqq2
OBSTRUCTING	qp3 sa1 trak3 ting2
OBSTRUCTINGLY	qp3 sa1 trak3 ting2 lii2
OBSTRUCTION	qp3 sa1 trak3 chan2
OBSTRUCTIONISM	qp3 sa1 trak3 chan2 nis3 svm2
OBSTRUCTIONIST	qp3 sa1 trak3 chan2 nis3
OBSTRUCTIONISTIC	qp3 sa1 trak3 chan2 nis3 tik1
OBSTRUCTIONISTS	qp3 sa1 trak3 chan2 nis3
OBSTRUCTIONS	qp3 sa1 trak3 chan2
OBSTRUCTIVE	qp3 sa1 trak3 thiif1
OBSTRUCTIVELY	qp3 sa1 trak3 thiif3 lii2
OBSTRUCTIVENESS	qp3 sa1 trak3 thiif1 nees1
OBSTRUCTIVISM	qp3 sa1 trak3 ti1 wis3 svm2
OBSTRUCTIVITY	qp3 sa1 trak3 thi1 wi3 tii2
OBSTRUCTOR	qp3 sa1 trak3 tqq2
OBSTRUCTORS	qp3 sa1 trak3 tqq2
OBSTRUCTS	qp3 sa1 trak3
OBSTRUENT	@@p3 sa1 truu0 an3
OBSTRUENTS	@@p3 sa1 truu0 an3
OBTAIN	qp3 theen0
OBTAINABILITY	qp3 theen0 nq1 bi1 li3 tii2
OBTAINABLE	qp3 theen0 nee0 bql2
OBTAINABLY	qp3 theen0 nee0 blii2
OBTAINED	qp3 theen0
OBTAINER	qp3 theen0 nqq2
OBTAINERS	qp3 theen0 nqq2
OBTAINING	qp3 theen0 ning2
OBTAININGS	qp3 theen0 ning2
OBTAINMENT	qp3 theen0 men3
OBTAINS	qp3 theen0
OBTAINTED	qp3 theen0 thet1
OBTRUDE	qp3 thruut3
OBTRUDED	qp3 thruut3 det1
OBTRUDER	qp3 thruut3 dqq2
OBTRUDERS	qp3 thruut3 dqq2
OBTRUDES	qp3 thruut3
OBTRUDING	qp3 thruut3 ding2
OBTRUSION	qp3 thruu3 chan2
OBTRUSIONIST	qp3 thruu3 chan2 nis3
OBTRUSIONS	qp3 thruu3 chan2
OBTRUSIVE	qp3 thruu0 siif1
OBTRUSIVELY	qp3 thruu0 siif1 lii2
OBTRUSIVENESS	qp3 thruu0 siif1 nees1
OBTURATE	@@p3 thq1 reet1
OBTURATED	@@p3 thq1 reet3 thet1
OBTURATES	@@p3 thq1 reet1
OBTURATION	@@p3 thq1 ree0 chan2
OBTURATOR	@@p3 thq1 ree0 tqq2
OBTUSE	qp3 thiw3
OBTUSELY	qp3 thiw3 lii2
OBTUSENESS	qp3 thiw3 nees1
OBTUSER	qp3 thiw3 sqq2
OBTUSION	qp3 thiw0 chan2
OBVERSE	@@p3 wqqs3
OBVERSELY	@@p3 wqqs3 lii2
OBVERSES	@@p3 wqqs3 ses1
OBVERSION	@@p3 wqqch3 chan2
OBVERSUS	@@p3 wqqs3 sqqs2
OBVERT	@@p3 wqqt1
OBVERTING	@@p3 wqqt3 ting2
OBVERTS	@@p3 wqqt1
OBVIATE	@@p3 wi3 eet1
OBVIATED	@@p3 wi3 eet3 thet1
OBVIATES	@@p3 wi3 eet1
OBVIATING	@@p3 wi3 eet3 ting2
OBVIATION	@@p3 wi3 ee0 chan2
OBVIATIONS	@@p3 wi3 ee0 chan2
OBVIATOR	@@p3 wi3 ee0 tqq2
OBVIATORS	@@p3 wi3 ee0 tqq2
OBVIOUS	@@p3 wiias2
OBVIOUSLY	@@p3 wiias3 lii2
OBVIOUSNESS	@@p3 wiias3 nees1
OCARINA	@k3 khaa0 rii0 nqq2
OCARINAS	@k3 khaa0 rii0 nees1
OCCASION	qk3 khee0 chan2
OCCASIONABLE	qk3 khee0 chan2 nee0 bql2
OCCASIONAL	qk3 khee0 chan2 n@l2
OCCASIONALISM	qk3 khee0 chan2 n@l2 lis3 svm2
OCCASIONALIST	qk3 khee0 chan2 n@l2 lis3
OCCASIONALISTIC	qk3 khee0 chan2 n@l2 lis3 tik1
OCCASIONALLY	qk3 khee0 chan2 n@l2 lii2
OCCASIONALS	qk3 khee0 chqq0 nql2
OCCASIONARY	qk3 khee0 chan2 rii2
OCCASIOND	qk3 khee0 chan2
OCCASIONED	qk3 khee0 chan2
OCCASIONING	qk3 khee0 chan2 ning2
OCCASIONINGS	qk3 khee0 chan2 ning2
OCCASIONS	qk3 khee0 chan2
OCCIDENT	@k3 si1 den3
OCCIDENTAL	@k3 si1 deen0 thql2
OCCIDENTALE	@k3 si1 dqn1 theel0
OCCIDENTALES	@k3 si1 deen0 thql2
OCCIDENTALISATION	@k3 si1 deen0 thql2 laj3 see0 chan2
OCCIDENTALISED	@k3 si1 deen0 thql2 laj3
OCCIDENTALISES	@k3 si1 deen0 thql2 lis3 ses1
OCCIDENTALISING	@k3 si1 deen0 thql2 laj3 sing2
OCCIDENTALISM	@k3 si1 deen0 thql2 lis3 svm2
OCCIDENTALIST	@k3 si1 deen0 thql2 lis3
OCCIDENTALITY	@k3 si1 deen0 thxxl2 li3 tii2
OCCIDENTALIZATION	@k3 si1 deen0 thql2 laj3 see0 chan2
OCCIDENTALIZE	@k3 si1 deen0 thql2 laj3
OCCIDENTALIZED	@k3 si1 deen0 thql2 laj3
OCCIDENTALIZES	@k3 si1 deen0 thql2 laaj0 ses1
OCCIDENTALIZING	@k3 si1 deen0 thql2 laj3 sing2
OCCIDENTALLY	@k3 si1 deen0 thql2 lii2
OCCIDENTALS	@k3 si1 deen0 thql2
OCCIDENTATION	@k3 si1 deen0 thee0 chan2
OCCIDENTS	@k3 si1 den3
OCCIDUOUS	@k3 si1 duu0 as2
OCCIPITAL	@k3 si1 phi1 thql2
OCCIPITALLY	@k3 si1 phi1 thql2 lii2
OCCIPUT	@k3 si1 phat3
OCCIPUTS	@k3 si1 phat3
OCCLUDE	@k3 khluut3
OCCLUDED	@k3 khluut3 det1
OCCLUDER	@k3 khluut3 dqq2
OCCLUDERS	@k3 khluut3 dqq2
OCCLUDES	@k3 khluut3
OCCLUDING	@k3 khluut3 ding2
OCCLUSE	@k3 khluus3
OCCLUSION	@k3 khluu0 chan2
OCCLUSIONS	@k3 khluu0 chan2
OCCLUSIVE	@k3 khluu0 siif1
OCCLUSIVENESS	@k3 khluu0 siif1 nees1
OCCULT	@k3 khal3
OCCULTATE	@k3 khql1 theet1
OCCULTATED	@k3 khql1 theet3 thet1
OCCULTATION	@k3 khql1 thee0 chan2
OCCULTATIONS	@k3 khql1 thee0 chan2
OCCULTED	@k3 khal3 thet1
OCCULTER	@k3 khal3 tqq2
OCCULTERS	@k3 khal3 tqq2
OCCULTIC	@k3 khql1 tik1
OCCULTING	@k3 khal1 ting2
OCCULTIS	@k3 khql1 thii2
OCCULTISM	@k3 khql1 this3 svm2
OCCULTIST	@k3 khql1 this3
OCCULTISTS	@k3 khql1 this3
OCCULTS	@k3 khal3
OCCUPANCE	@k3 khiw0 phen3
OCCUPANCIES	@k3 khiw0 phqn1 sii2
OCCUPANCY	@k3 khiw0 phqn1 sii2
OCCUPANT	@k3 khiw0 phen3
OCCUPANTS	@k3 khiw0 phen3
OCCUPANY	@k3 khiw0 phq1 nii0
OCCUPATION	@k3 khiw0 phee0 chan2
OCCUPATIONAL	@k3 khiw0 phee0 chan2 n@l2
OCCUPATIONALIST	@k3 khiw0 phee0 chan2 n@l2 lis3
OCCUPATIONALLY	@k3 khiw0 phee0 chan2 n@l2 lii2
OCCUPATIONARY	@k3 khiw0 phee0 chan2 nq1 rii2
