DA	daa0
DAINTINESS	deen0 ti1 nees1
DAINTON	deen0 tan2
DAINTREE	deen0 thrii0
DAINTY	deen0 tii2
DAIRIES	dxx0 riis1
DAIRY	dxx0 rii2
DAIRYING	dxx0 rii2 ing2
DAIRYLAND	dxx0 rii2 lxxn0
DAIRYLANDS	dxx0 rii2 lxxn0
DAIRYMAID	dxx0 rii2 meet1
DAIRYMAIDS	dxx0 rii2 meet1
DAIRYMAN	dxx0 rii2 mxxn0
DAIRYMEN	dxx0 rii2 men0
DAIS	dee0 is3
DAISES	dee0 is3 ses1
DAISICAL	dee0 si1 khql2
DAISIES	dee0 ses1
DAISY	dee0 sii2
DAISYS	dee0 sii2
DAK	dak3
DAKAR	dak3 kaa0
DAKIN	deek3 khin2
DAKINS	deek3 khin2
DAKOTA	daa0 koo0 taa0
DAKOTAN	daa0 koo0 tan3
DAKOTANS	daa0 koo0 tan3
DAKOTAS	daa0 koo0 tas3
DALE	deel0
DALEN	deel0 len2
DALENBERG	deel0 len0 bqqk1
DALES	deel0
DALESANDRO	deel0 sxxn0 droo2
DALESMAN	deel0 mqn2
DALESMEN	deel0 sa1 men0
DALESPEOPLE	deel0 sa1 phii3 phql2
DALESSAN	deel0 sxxn0
DALESSANDRO	deel0 sxxn0 droo2
DALESWOMAN	deel0 sa1 wuu3 mxn2
DALESWOMEN	deel0 sa1 wii3 men2
DALGLIESH	deel0 kli1 ech1
DALGLISH	deel0 klich1
DALIA	deel0 laa2
DALIAN	deel0 liian2
DALIANES	deel0 liian2 nees1
DALKEITH	deel0 khii2
DALKEY	deel0 kii2
DALKIN	deel0 kin2
DALLACE	deel0 lxxs2
DALLAN	deel0 lan2
DALLAS	deel0 las2
DALLIANCE	deel0 li3 an2
DALLIANCES	deel0 li3 an2 ses1
DALLIED	deel0 laaj1
DALLIER	deel0 laaj1 qq2
DALLIERS	deel0 laaj1 qq2
DALLIES	deel0 lii2
DALLY	deel0 lii2
DALLYES	deel0 lii0 ees1
DALLYING	deel0 laaj0 ing2
DALLYS	deel0 lii2
DALMAN	deel0 mxxn0
DALMAR	deel0 maa2
DALMARD	deel0 maat1
DALMAS	deel0 mas3
DALMATIAN	deel0 maa0 chiian2
DALMATIANS	deel0 maa0 chiian2
DALMATION	deel0 maa0 chan0
DALMATIONS	deel0 maa0 chan0
DALMO	deel0 moo2
DALRY	deel0 rii2
DALTON	deel0 thqn2
DALTONS	deel0 thqn2
DAM	dxxm0
DAMAGE	dxx0 meech1
DAMAGEABILITY	dxx0 meech1 cql0 bil1 li3 tii2
DAMAGEABLE	dxx0 meech1 cql0 bqql2
DAMAGEABLENESS	dxx0 meech1 cql0 bqql0 nees1
DAMAGEABLY	dxx0 meech1 cql0 blii2
DAMAGED	dxx0 meech1
DAMAGEED	dxx0 meech1 ciit1
DAMAGER	dxx0 meech1 cqq2
DAMAGERS	dxx0 meech1 cqq2
DAMAGES	dxx0 meech1 cis1
DAMAGING	dxx0 meech1 cing2
DAMAGINGLY	dxx0 meech1 cing2 lii2
DAMALI	dxxm0 maa0 lii2
DAMANT	dxxm0 mxxn3
DAMANY	dxxm0 mee0 nii2
DAMARES	dxxm0 maa0 rqqs2
DAMARK	dxxm0 maak3
DAMART	dxxm0 maat1
DAMAS	dxxm0 mqs3
DAMASCENE	dxxm0 mqs3 siin0
DAMASCENED	dxxm0 mqs3 sen0 neet1
DAMASCENER	dxxm0 mqs3 sen0 nqq2
DAMASCENES	dxxm0 mqs3 sen0 nees1
DAMASCENING	dxxm0 mqs3 sen0 ning2
DAMASCUS	dxxm0 mqs3 kas2
DAMASK	dxxm0 mxxs3
DAMASKED	dxxm0 mxxs3 kit2
DAMASKS	dxxm0 mxxs3
DAMBACH	dxxm0 bak3
DAMBACHER	dxxm0 bak3 khq2
DAMBAR	dxxm0 baa2
DAMBECK	dxxm0 bek3
DAMBERGER	dxxm0 bqqk3 kqq2
DAMBOR	dxxm0 b@@0
DAMBRA	dxxm0 braa0
DAMBRON	dxxm0 br@@n2
DAMBROSIA	dxxm0 br@@s3 siia0
DAMBRY	dxxm0 brii2
DAME	dxxm0
DAMERON	dxxm0 r@@n2
DAMES	dxxm0
DAMEWOOD	dxxm0 wuut1
DAMEWOODS	dxxm0 wuut1
DAMIAN	dxxm0 miian2
DAMIANOS	dxxm0 miian0 n@@s2
DAMING	dxxm0 ming2
DAMMAM	dxxm0 mxxm0
DAMMAN	dxxm0 mxxn0
DAMMANN	dxxm0 maan0
DAMMED	dxxm0 met1
DAMMEN	dxxm0 men0
DAMMERMAN	dxxm0 mqq0 mxxn0
DAMMING	dxxm0 ming2
DAMN	dxxm0
DAMNABILITIES	dxxm0 nql0 bil1 li3 tii2
DAMNABILITY	dxxm0 nql0 bil1 li3 tii2
DAMNABLE	dxxm0 nql0 bql2
DAMNABLENESS	dxxm0 nql0 bql2 nees1
DAMNABLY	dxxm0 nql0 blii2
DAMNATION	dxxm0 nee0 chan0
DAMNATIONS	dxxm0 nee0 chan0
DAMNATORY	dxxm0 nqt1 thql0 rii2
DAMNED	dxxm0 net1
DAMNEDER	dxxm0 net1 dqq2
DAMNEDEST	dxxm0 net1 dees1
DAMNER	dxxm0 nqq2
DAMNERS	dxxm0 nqq2
DAMNES	dxxm0 nees1
DAMNIFICATION	dxxm0 ni1 fi1 khee1 chan0
DAMNIFIED	dxxm0 ni1 faaj0 it2
DAMNIFY	dxxm0 ni1 faaj0
DAMNIFYING	dxxm0 ni1 faaj0 ing2
DAMNING	dxxm0 ming2
DAMNIT	dxxm0 nit1
DAMNS	dxxm0
DAMOCLEAN	dxxm0 moo0 khliian0
DAMOCLES	dxxm0 moo0 khlqq2
DAMONE	dxxm0 moon0
DAMORE	dxxm0 m@@0
DAMOSEL	dxxm0 moo0 seel0
DAMOSELS	dxxm0 moo0 seel0
DAMOUR	dxxm0 maaw0 qq2
DAMP	dxm3
DAMPAL	dxm3 phel0
DAMPED	dxxm0 phet2
DAMPEN	dxxm0 phen2
DAMPENED	dxxm0 phen0 net2
DAMPENER	dxxm0 phen0 nqq2
DAMPENERS	dxxm0 phen0 nqq2
DAMPENING	dxxm0 phen0 ning2
DAMPENS	dxxm0 phen2
DAMPER	dxxm0 pq2
DAMPERED	dxxm0 phqq0 ret1
DAMPERS	dxxm0 phqq2
DAMPEST	dxxm0 phes2
DAMPIER	dxxm0 phaaj0 qq2
DAMPING	dxxm0 ping2
DAMPISH	dxxm0 pich1
DAMPISHLY	dxxm0 pich1 lii2
DAMPISHNESS	dxxm0 pich1 nees1
DAMPLER	dxxm0 phlqq2
DAMPLY	dxxm0 plii2
DAMPNESS	dxxm0 nees1
DAMPS	dxm3
DAMRAD	dxxm0 raat1
DAMROD	dxxm0 r@t1
DAMRON	dxxm0 r@n2
DAMRONS	dxxm0 r@n2
DAMROW	dxxm0 roo0
DAMS	dxxm0
DAMSEL	dxxm0 sel0
DAMSELFLIES	dxxm0 sel0 flaaj0 es1
DAMSELFLY	dxxm0 sel0 flaaj0
DAMSELS	dxxm0 sel0
DAMSKI	dxxm0 sa1 kii2
DAMSON	dxxm0 san2
DAMSONS	dxxm0 san2
DAN	dxxn0
DANBERRY	dxxn0 bqq0 rii2
DANBRIDGE	dxxn0 bric1
DANBROOK	dxxn0 bruuk3
DANBURG	dxxn0 bqqk1
DANBURY	dxxn0 bqq0 rii2
DANCAD	dxxn0 khxxt1
DANCE	daan3
DANCEABILITY	daan3 q2 bil1 li3 tii2
DANCEABLE	daan3 ee0 bql2
DANCED	daan3 set2
DANCEING	daan3 sing2
DANCELAND	daan3 lxxn0
DANCELE	daan3 seel0
DANCELIKE	daan3 laj3
DANCELOT	daan3 l@t1
DANCEMAN	daan3 mxxn0
DANCER	daan3 sqq2
DANCERESS	daan3 res1
DANCERIES	daan3 ris2
DANCERS	daan3 sqqs2
DANCERY	daan3 rii2
DANCES	daan3 ses1
DANCET	daan3 set1
DANCIENNE	daan3 siin0
DANCING	daan3 sing2
DANCINGLY	daan3 sing2 lii2
DANDAN	dxxn0 dvn2
DANDEES	dxxn0 dii2
DANDELION	dxxn0 dil0 laaj0 @n2
DANDELIONED	dxxn0 dil0 laaj0 @n2 net1
DANDELIONS	dxxn0 dil0 laaj0 @n2
DANDENEAU	dxxn0 deen0 noo0
DANDENY	dxxn0 deen0 nii2
DANDER	dxxn0 dqq2
DANDERED	dxxn0 dqq0 ret1
DANDERS	dxxn0 dqq2
DANDIACAL	dxxn0 daaj0 ql0 khal0
DANDIACALLY	dxxn0 daaj0 ql0 khal0 lii2
DANDIE	dxxn0 dii2
DANDIER	dxxn0 di1 qq2
DANDIES	dxxn0 dii2
DANDIEST	dxxn0 dii0 es1
DANDIFICATION	dxxn0 dii0 fi1 khee0 chan0
DANDIFIED	dxxn0 dii0 faaj3 it1
DANDIFIES	dxxn0 dii0 faaj0
DANDIFY	dxxn0 dii0 faaj0
DANDIFYING	dxxn0 dii0 faaj0 ing2
DANDILLY	dxxn0 dil0 lii2
DANDILY	dxxn0 di1 lii2
DANDIN	dxxn0 din2
DANDING	dxxn0 ding2
DANDIT	dxxn0 det1
DANDLE	dxxn0 del0
DANDLED	dxxn0 del0 it1
DANDLER	dxxn0 dql0 lqq2
DANDLERS	dxxn0 dql0 lqq2
DANDLES	dxxn0 dql2
DANDLING	dxxn0 dql0 ling2
DANDLINGLY	dxxn0 dql0 ling2 lii2
DANDO	dxxn0 doo2
DANDONA	dxxn0 d@@n0 naa2
DANDRIDGE	dxxn0 dric1
DANDRIFF	dxxn0 drif3 
DANDRUFF	dxxn0 draf3 
DANDRUFFY	dxxn0 draf3 fii2
DANDURAND	dxxn0 duu0 rqn2
DANDY	dxxn0 dii2
DANDYING	dxxn0 daaj0 ing2
DANDYISH	dxxn0 daaj0 ich1
DANDYISM	dxxn0 daaj0 is3 svm2
DANDYISMS	dxxn0 daaj0 is3 svm2
DANDYS	dxxn0 dii2
DANE	deen0
DANEGELD	deen0 keel0
DANEGELDS	deen0 keel0
DANES	deen2 nees1
DANESES	deen0 nes3 ses1
DANEWEED	deen0 wiit1
DANEWORT	deen0 wqqt1
DANFIELD	dxxn0 fiil0
DANFORD	dxxn0 f@@t1
DANFORTH	dxxn0 foot3
DANFORTHS	dxxn0 foot3
DANGEL	dxxng0 cql2
DANGELED	dxxng0 cql0 it1
DANGELOS	dxxng0 cql0 l@@s3
DANGER	dxxng0 cqq2
DANGERED	dxxng0 cqq2 it1
DANGERFIELD	dxxng0 cqq2 fiil0
DANGERFIELDS	dxxng0 cqq2 fiil0
DANGEROUS	dxxng0 cql0 ras3
DANGEROUSLY	dxxng0 cql0 ras3 lii2
DANGEROUSNESS	dxxng0 cql0 ras3 nees1
DANGERS	dxxng0 cqq2
DANGLE	dxxng0 kql2
DANGLED	dxxng0 kql0 it1
DANGLEMENT	dxxng0 kql0 men3
DANGLER	dxxng0 klqq2
DANGLERS	dxxng0 klqq2
DANGLES	dxxng0 kql2
DANGLIN	dxxng0 klin2
DANGLING	dxxng0 kling2
DANGLINGLY	dxxng0 kling0 lii2
DANGLY	dxxng0 khii2
DANGREEN	dxxn0 kriin0
DANGUARD	dxxn0 kaat1
DANIAL	dxxn0 niial0
DANICE	dxxn0 naj3
DANIEL	dxxn0 niial0
DANIELD	dxxn0 niial0
DANIELLES	dxxn0 niial0 les1
DANIELLS	dxxn0 niial0
DANIELS	dxxn0 niial0
DANIELSEN	dxxn0 niial0 sen2
DANIELSKI	dxxn0 niial0 sa1 kii2
DANIELSON	dxxn0 niial0 san2
DANIELSONS	dxxn0 niial0 san2
DANING	dxxn0 ning2
DANISH	dxxn0 nich1
DANISHES	dxxn0 nich3 ches1
DANK	dxxng3
DANKEN	dxxng3 khqn2
DANKENS	dxxng3 khqn2
DANKER	dxxng3 kqq2
DANKERS	dxxng3 kqq2
DANKEST	dxxng3 kis2
DANKING	dxxng3 king2
DANKISH	dxxng3 kich1
DANKISHNESS	dxxng3 kich1 nees1
DANKLY	dxxng3 khlii2
DANKNESS	dxxng3 nees1
DANKS	dxxng3
DANLEE	dxxn0 lii0
DANLEY	dxxn0 lee2
DANLINE	dxxn0 laaj0
DANLING	dxxn0 ling2
DANLY	dxxn0 lii2
DANNA	dxxn0 naa2
DANNAN	dxxn0 nxxn2
DANNED	dxxn0 net2
DANNELL	dxxn0 neel0
DANNELLEY	dxxn0 neel0 lee2
DANNELLY	dxxn0 neel0 lii2
DANNIE	dxxn0 nii2
DANNY	dxxn0 nii2
DANNYS	dxxn0 nii2
DANOFF	dxxn0 n@@f1
DANSE	dxxn3
DANSER	dxxn3 sqq2
DANSEREAU	dxxn3 roo0
DANSES	dxxn3 ses1
DANSEUSE	dxxn3 suus3
DANSEUSES	dxxn3 suus3 ses1
DANSICKER	dxxn0 sik3 kqq2
DANSIL	dxxn0 sil0
DANSKER	dxxn0 sa1 kqq2
DANSKI	dxxn0 sa1 kii2
DANSKIN	dxxn0 sa1 kin2
DANSKINS	dxxn0 sa1 kin2
DANSKY	dxxn0 sa1 kii2
DANSON	dxxn0 san2
DANSONS	dxxn0 san2
DANSTAR	dxxn0 sa1 taa0
DANSTROM	dxxn0 sa1 tr@@m0
DANTAN	dxxn0 thxxn2
DANTAS	dxxn0 thas3
DANTE	dxxn3 tee2
DANTEAN	dxxn0 thiin0
DANTEC	dxxn0 thek1
DANTEL	dxxn0 theel0
DANTER	dxxn0 thqq2
DANTES	dxxn3 tes1
DANTESQUE	dxxn0 thes3 kql2
DANTEX	dxxn0 thek1
DANTHONY	dxxn0 thoo0 nii2
DANTICO	dxxn0 thi1 khoo2
DANTIN	dxxn0 thin0
DANTIST	dxxn0 this3
DANTLEY	dxxn0 thql0 lee2
DANTON	dxxn0 than2
DANTONI	dxxn0 thoo0 nii2
DANTONIO	dxxn0 thoo0 nii0 oo2
DANTOR	dxxn0 thqq2
DANTOS	dxxn0 th@s2
DANUBIAN	dxxn0 nuu0 biian2
DANVILLE	dxxn0 wiil0
DANZA	dxxn0 saa2
DANZAR	dxxn0 saa2
DANZARD	dxxn0 saat1
DANZAS	dxxn0 sqs3
DANZINGER	dxxn0 sing2 kqq2
DAPHNE	dxxp2 fiin0
DAPHNES	dxxp2 fiin0
DAPPER	dxxp2 phqq2
DAPPERER	dxxp2 phql0 rqq2
DAPPEREST	dxxp2 phql0 ris1
DAPPERNESS	dxxp2 phql0 nees1
DAPPERS	dxxp2 phqq2
DAPPERS	dxxp2 phqq2
DAPPLE	dxxp2 pql2
DAPPLED	dxxp2 plet2
DAPPLES	dxxp2 pql2
DAPPLING	dxxp2 pling2
DAPPLINGS	dxxp2 pling2
DARBIES	daa0 bii2
DARBY	daa0 bii2
DARBYS	daa0 bii2
DARBYSHIRE	daa0 bii2 chaaj0
DARE	dxx0
DARED	dxx0 it1
DAREDEVIL	dxx0 dee0 wil0
DAREDEVILRY	dxx0 dee0 wil0 rii2
DAREDEVILS	dxx0 dee0 wil0
DARENT	dxx0 rqn2
DARENTH	dxx0 rqn2
DARER	dxx0 rqq2
DARERS	dxx0 rqq2
DARES	dxx0 res1
DARESAY	dxx0 see2
DARFIELD	dxx0 fiil0
DARIAN	dxx0 riian2
DARING	dxx0 ring2
DARINGLY	dxx0 ring2 lii2
DARINGNESS	dxx0 ring2 nees1
DARINGS	dxx0 ring2
DARINGTON	dxx0 ring2 tan2
DARISH	dxx0 rich1
DARIUS	dxx0 rii0 as3
DARK	daak3
DARKED	daak3 khit2
DARKEN	daak3 khen2
DARKENED	daak3 khen2
DARKENER	daak3 khen2 nqq2
DARKENERS	daak3 khen2 nqq2
DARKENING	daak3 khen2 ning2
DARKENS	daak3 khen2
DARKER	daak3 khqq2
DARKER	daak3 khqq2
DARKES	daak3 khes1
DARKEST	daak3 khes1
DARKEY	daak3 khii2
DARKEYED	daak3 khii2 et1
DARKEYS	daak3 khis2
DARKHAIRED	daak3 hxx0 ret2
DARKHILL	daak3 hiil0
DARKIE	daak3 khii2
DARKIES	daak3 khis2
DARKING	daak3 king2
DARKINS	daak3 khin2
DARKISH	daak3 khich1
DARKISHNESS	daak3 khich3 nees1
DARKLANDS	daak3 lxxn0
DARKLE	daak3 khql2
DARKLED	daak3 let1
DARKLES	daak3 les1
DARKLEY	daak3 lee2
DARKLIEST	daak3 li3 es1
DARKLIN	daak3 khlin2
DARKLING	daak3 khling2
DARKLINGS	daak3 khling2
DARKLY	daak3 lii2
DARKMAN	daak3 mxxn0
DARKMANS	daak3 mxxn0
DARKNELL	daak3 neel0
DARKNESS	daak3 nees1
DARKNESSES	daak3 nes3 ses1
DARKROOM	daak3 ruum0
DARKROOMS	daak3 ruum0
DARKS	daak3
DARKSIDE	daak3 saj3
DARKSKIN	daak3 kin0
DARKSOME	daak3 sam2
DARKSOMENESS	daak3 sam2 nees1
DARKWOOD	daak3 wuut3
DARKY	daak3 khii2
DARLIN	daa0 lin2
DARLING	daa0 ling3
DARLINGED	daa0 ling3 kit1
DARLINGEST	daa0 ling3 kes1
DARLINGLY	daa0 ling3 lii2
DARLINGNESS	daa0 ling3 nees1
DARLINGS	daa0 ling3
DARLINGTON	daa0 ling3 tan2
DARLINGTONIA	daa0 ling0 thoo0 niia0
DARLINGTONIAN	daa0 ling0 thoo0 niian2
DARLINGTONIANS	daa0 ling0 thoo0 niian2
DARLINGTONS	daa0 ling0 tan2
DARLINK	daa0 ling3
DARLINS	daa0 lin2
DARMSTADT	daam0 sa1 txt1
DARN	daan2
DARNALL	daa0 neel0
DARNALLS	daa0 neel0
DARNED	daa0 net1
DARNEDER	daa0 net3 dqq2
DARNEDEST	daa0 net3 des1
DARNEL	daa0 nel0
DARNELL	daa0 neel0
DARNELLA	daa0 neel0 laa2
DARNELLE	daa0 neel0
DARNELS	daa0 nel0
DARNER	daa0 nqq2
DARNERS	daa0 nqq2
DARNING	daa0 ning2
DARNINGS	daa0 ning2
DARNLEY	daan0 lee2
DARNOLD	daa0 nool0
DARNS	daan2
DART	daat3
DARTBOARD	daat3 b@@t1
DARTBOARDS	daat3 b@@t1
DARTED	daat3 thet1
DARTER	daat3 thq2
DARTERS	daat3 tqq2
DARTFORD	daat3 f@@t1
DARTING	daat3 ting2
DARTINGLY	daat3 ting2 lii2
DARTINGS	daat3 ting2
DARTINGTON	daat3 ting2 tan2
DARTLAND	daat3 lxxn0
DARTLE	daat3 lee2
DARTLEY	daat3 lee2
DARTLIKE	daat3 laj3
DARTMAN	daat3 mxxn0
DARTMOOR	daat3 m@@0
DARTMOUTH	daat3 maw3
DARTNELL	daat3 neel0
DARTS	daat3
DARTSMAN	daat3 mxxn0
DARTSMEN	daat3 men0
DARWEN	daa0 wen2
DARWIN	daa0 win2
DARWINIAN	daa0 win0 niian2
DARWINIANISM	daa0 win0 niian0 nis3 svm2
DARWINIANS	daa0 win0 niian2
DARWINISES	daa0 win0 nis1 ses1
DARWINISM	daa0 win0 nis3 svm2
DARWINIST	daa0 win0 nis3
DARWINISTIC	daa0 win0 nis3 tik1
DARWINISTS	daa0 win0 nis3
DARWINS	daa0 win2
DASH	dxch3
DASHBOARD	dxch3 b@@t3
DASHED	dxch3 chet2
DASHER	dxch3 chqq2
DASHERS	dxch3 chqq2
DASHES	dxch3 ches1
DASHING	dxch3 ching2
DASHINGLY	dxch3 ching2 lii2
DASHPOT	dxch3 p@t1
DASHPOTS	dxch3 p@t1
DASHWOOD	dxch3 wuut1
DASTARD	dxs3 thaat1
DASTARDISE	dxs3 taa0 daaj3
DASTARDISES	dxs3 taa0 daaj3 ses1
DASTARDIZE	dxs3 taa0 daaj3
DASTARDIZES	dxs3 taa0 daaj3 ses1
DASTARDLINESS	dxs3 taa0 dql0 lii2 nees1
DASTARDLY	dxs3 taat3 lii2
DASTARDS	dxs3 taat1
DASTARDY	dxs3 taat1 dii2
DASTON	dxs3 tan2
DASTOR	dxs3 thqq2
DATA	daa0 taa2
DATABASE	daa0 taa2 bees1
DATABASED	daa0 taa2 bees3 set2
DATABASES	daa0 taa2 bees3 ses1
DATABASING	daa0 taa2 bees3 sing2
DATABILITY	daa0 taa2 bil1 li3 tii2
DATABILL	daa0 taa2 bil0
DATABLE	daa0 taa2 bel0
DATABLENESS	daa0 taa2 bel0 nees1
DATABLY	daa0 taa2 blii2
DATABOOK	daa0 taa2 buk3
DATABOY	daa0 taa2 b@@j0
DATABUS	daa0 taa2 bas2
DATACARD	daa0 taa2 kaat3
DATACOPY	daa0 taa2 k@p3 phii2
DATACORP	daa0 taa2 kh@@p3
DATAFLOW	daa0 taa2 floo0
DATAGRAF	daa0 taa2 krxxf3 
DATAGRAM	daa0 taa2 krxxm0
DATAGRAMS	daa0 taa2 krxxm0
DATAGRAPH	daa0 taa2 kraaf3 
DATAGRAPHICS	daa0 taa2 kraaf3 fik1
DATALINK	daa0 taa2 ling3
DATALOG	daa0 taa2 l@k3
DATAMATE	daa0 taa2 meet1
DATAMATION	daa0 taa2 mee0 chan0
DATAMAX	daa0 taa2 mxk3
DATAMEDIC	daa0 taa2 met3 dik1
DATAMETRICS	daa0 taa2 met3 thrik1
DATAPOINT	daa0 taa2 ph@@j3
DATAPOINTS	daa0 taa2 ph@@j3
DATAPOWER	daa0 taa2 phaaw0 wqq2
DATAPRODUCTS	daa0 taa2 proo0 dak1
DATAQUEST	daa0 taa2 khwes3
DATARAM	daa0 taa2 rxxm2
DATAREX	daa0 taa2 rek1
DATARY	daa0 taa2 rii2
DATAS	daa0 taas2
DATASET	daa0 taa2 set3
DATASETS	daa0 taa2 set3
DATE	deet1
DATEABLE	deet3 thqq0 bql2
DATED	deet3 thet1
DATEDLY	deet3 thet1 lii2
DATEDNESS	deet3 thet1 nees1
DATELESS	deet3 les1
DATELESSNESS	deet3 les2 nees1
DATELIKE	deet3 laj3
DATELINE	deet3 laaj0
DATELINED	deet3 laaj0 net1
DATELINES	deet3 laaj0
DATELINING	deet3 laaj0 ning2
DATENESS	deet3 nees1
DATER	deet3 thqq2
DATERS	deet3 thqq2
DATES	deet1
DATESMAN	deet3 mxxn0
DATING	deet3 ting2
DATINGS	deet3 ting2
DATIVAL	dee0 thi3 w@l0
DATIVE	dee0 thiif1
DATIVELY	dee0 thiif1 lii2
DATIVES	dee0 thiif1
DATUM	dee0 tham2
DATUMS	dee0 th@m2
DAUB	d@p3
DAUBED	d@p3 bet1
DAUBER	d@p3 bqq2
DAUBERS	d@p3 bqq2
DAUBES	d@p3 bes1
DAUBING	d@p3 bing2
DAUBINGLY	d@p3 bing0 lii2
DAUBINGS	d@p3 bing2
DAUBS	d@p3
DAUGHTER	d@@0 thqq2
DAUGHTERED	d@@0 thqq2 ret2
DAUGHTERLESS	d@@0 thqq2 les1
DAUGHTERLINESS	d@@0 thqq2 li1 nees1
DAUGHTERLY	d@@0 thqq2 lii2
DAUGHTERS	d@@0 thqq2
DAUGHTERY	d@@0 thql0 rii2
DAUNT	d@@n3
DAUNTED	d@@n3 thet1
DAUNTEDLY	d@@n3 thet1 lii2
DAUNTER	d@@n3 tqq2
DAUNTERS	d@@n3 tqq2
DAUNTING	d@@n3 ting2
DAUNTINGLY	d@@n3 ting2 lii2
DAUNTLESS	d@@n3 thql0 les1
DAUNTLESSLY	d@@n3 thql0 les3 lii2
DAUNTLESSNESS	d@@n3 thql0 les3 nees1
